,start,end,min_in_bed,sleep_quality,min_awake,min_rem_sleep,min_light_sleep,min_deep_sleep,total_asleep
0,2021-10-03 03:06:25,2021-10-03 05:41:03,155,73,0,38,26,91,155
1,2021-10-03 21:25:42,2021-10-04 05:29:53,484,90,32,121,138,193,452
2,2021-10-05 19:21:38,2021-10-06 04:44:44,563,76,79,87,231,166,484
3,2021-10-06 21:05:49,2021-10-07 04:39:57,454,88,16,103,122,213,438
4,2021-10-07 20:25:19,2021-10-08 03:14:30,409,78,27,45,180,158,382
5,2021-10-08 20:04:32,2021-10-09 04:08:45,484,81,104,94,152,134,380
6,2021-10-10 18:03:52,2021-10-10 22:14:28,251,60,0,48,107,96,251
7,2021-10-11 01:09:01,2021-10-11 04:44:05,215,55,0,45,82,87,215
8,2021-10-11 20:23:43,2021-10-12 04:29:29,486,79,37,70,196,182,449
9,2021-10-12 18:53:52,2021-10-13 03:59:26,546,81,71,95,170,210,475
10,2021-10-13 20:53:43,2021-10-14 05:14:17,501,91,16,94,200,189,485
11,2021-10-14 22:23:39,2021-10-15 05:28:49,425,81,29,63,201,131,396
12,2021-10-15 23:49:37,2021-10-16 06:43:54,414,85,0,69,164,181,414
13,2021-10-17 01:25:04,2021-10-17 08:38:54,434,88,0,92,131,210,434
14,2021-10-17 15:53:54,2021-10-17 16:43:51,50,81,0,0,22,28,50
15,2021-10-17 22:54:33,2021-10-18 05:28:47,394,81,14,61,116,202,380
16,2021-10-23 02:34:33,2021-10-23 03:08:13,34,88,0,2,17,14,34
17,2021-10-23 23:23:09,2021-10-24 05:56:32,393,84,17,64,178,135,376
18,2021-10-26 19:02:29,2021-10-27 04:33:40,571,85,29,89,224,229,542
19,2021-10-27 21:22:29,2021-10-28 03:42:35,380,91,15,77,140,148,365
20,2021-11-01 20:06:35,2021-11-02 05:12:08,546,85,40,162,176,167,506
21,2021-11-03 20:36:31,2021-11-04 04:56:56,500,82,62,104,198,136,438
22,2021-11-04 21:47:23,2021-11-05 04:11:33,384,91,0,79,163,142,384
23,2021-11-05 22:37:40,2021-11-06 05:46:22,429,90,60,92,156,120,369
24,2021-11-09 21:21:54,2021-11-10 06:11:34,530,77,46,54,238,192,484
25,2021-11-10 22:06:26,2021-11-11 06:42:35,516,80,32,61,249,174,484
26,2021-11-13 09:36:22,2021-11-13 10:14:51,38,81,0,0,24,14,38
27,2021-11-14 20:06:24,2021-11-15 03:27:15,441,88,42,92,131,176,399
28,2021-11-15 20:04:52,2021-11-16 06:12:22,607,91,29,116,264,198,578
29,2021-11-17 21:06:20,2021-11-18 03:11:26,365,79,31,45,134,155,334
