Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Functional Strength Training,2022-09-25 12:16,2022-09-25 12:54,00:38:04,2510,2125,172,146.23,,,234,0.102,,,,,
Cycling,2022-09-24 12:20,2022-09-24 13:05,00:42:28,1452,1022,194,153.53,11.12,15.71,207,0.081,,,,36.34,
Cycling,2022-09-22 14:34,2022-09-22 16:11,01:31:49,3207,2384,181,153.81,24.63,16.09,3435,0.623,,,,104.06,
Cycling,2022-09-21 14:14,2022-09-21 14:56,00:41:35,1421,1025,184,158.44,10.44,15.06,2202,0.882,,,,29.22,
Functional Strength Training,2022-09-19 19:01,2022-09-19 19:24,00:22:59,1102,924.66,137,101.46,,,182,0.132,,,,,
Functional Strength Training,2022-09-18 10:22,2022-09-18 10:45,00:22:14,1179,1021,146,112.31,,,233,0.175,,,,,
Functional Strength Training,2022-09-16 12:20,2022-09-16 12:32,00:11:54,753.5,564.84,148,123.42,,,161,0.225,,,,,
Functional Strength Training,2022-09-08 10:37,2022-09-08 10:55,00:18:36,1219,1084,146,123.11,,,121,0.108,,,,,
Functional Strength Training,2022-07-30 10:49,2022-07-30 11:09,00:19:17,1188,1004,156,119.88,,,223,0.193,,,,,
Functional Strength Training,2022-07-29 12:36,2022-07-29 12:47,00:11:00,592.47,414.22,162,130.36,,,90,0.136,,,,,
Functional Strength Training,2022-07-28 10:27,2022-07-28 10:42,00:14:48,970.48,778.22,160,130.54,,,51,0.057,,,,,
Functional Strength Training,2022-07-24 12:24,2022-07-24 12:42,00:18:01,1128,937.22,128,103.66,,,155,0.143,,,,,
Walking,2022-07-24 01:54,2022-07-24 09:25,07:31:32,5445,2040,130,56.84,0.103,0.014,128,0.005,,,,,
Functional Strength Training,2022-07-23 09:26,2022-07-23 09:38,00:11:58,680.03,489.53,169,138.6,,,49,0.068,,,,,
Functional Strength Training,2022-07-22 10:10,2022-07-22 10:23,00:13:20,898.52,698.73,164,119.34,,,67,0.084,,,,,
Functional Strength Training,2022-07-21 10:13,2022-07-21 10:26,00:12:58,787.88,589.94,150,117.15,,,282,0.362,,,,,
Functional Strength Training,2022-07-20 10:03,2022-07-20 10:13,00:09:14,444.7,343.09,83,83,,,65,0.117,,,,,
Functional Strength Training,2022-07-19 10:42,2022-07-19 11:01,00:18:55,1143,995.79,148,107.57,,,11,0.01,,,,,
Functional Strength Training,2022-07-18 10:25,2022-07-18 10:37,00:11:55,824.8,644.34,159,134.11,,,168,0.235,,,,,
Functional Strength Training,2022-07-17 14:44,2022-07-17 14:52,00:07:38,282.08,230.12,65,65,,,115,0.251,,,,,
Functional Strength Training,2022-07-16 13:59,2022-07-16 14:13,00:13:45,599.96,497.9,167,130.36,,,310,0.376,,,,,
Functional Strength Training,2022-07-15 09:04,2022-07-15 09:16,00:12:33,633.27,451.87,152,112.1,,,103,0.137,,,,,
Functional Strength Training,2022-07-14 12:30,2022-07-14 12:38,00:08:17,449.85,284.51,151,133.21,,,12,0.024,,,,,
Functional Strength Training,2022-03-11 06:55,2022-03-11 07:12,00:16:44,842.18,728.02,63,63,,,127,0.126,,,,,
Functional Strength Training,2022-03-10 06:23,2022-03-10 06:38,00:14:30,741.66,627.6,100,92,,,142,0.163,,,,,
Functional Strength Training,2022-02-27 04:24,2022-02-27 04:38,00:14:04,798.35,606.68,171,136.72,,,50,0.059,,,,,
Functional Strength Training,2022-02-25 10:02,2022-02-25 10:15,00:13:29,762.93,581.58,152,115.61,,,78,0.096,,,,,
Functional Strength Training,2022-02-24 10:31,2022-02-24 10:45,00:13:59,833.87,640.15,149,115.84,,,118,0.141,,,,,
Functional Strength Training,2022-02-23 15:35,2022-02-23 15:50,00:14:51,648.79,535.55,82,70.33,,,34,0.038,,,,,
Functional Strength Training,2022-02-18 03:26,2022-02-18 03:40,00:14:05,830.4,640.15,158,122.72,,,1,0.001,,,,,
Functional Strength Training,2022-02-17 06:09,2022-02-17 06:23,00:13:51,750.45,556.47,162,121.32,,,199,0.239,,,,,
Functional Strength Training,2022-02-16 08:10,2022-02-16 08:24,00:13:56,553.51,443.5,138,101.25,,,268,0.32,,,,,
Functional Strength Training,2022-02-16 07:49,2022-02-16 08:05,00:15:30,534.19,426.77,130,94.68,,,185,0.199,,,,,
