,date,active_energy_kj,exercise_time_min,stand_time_min,basal_energy_burned_kj,resting_heart_rate_count_min,asleep_min_acitvity,min_in_bed_activity,step_count
0,2021-10-01,2048.0,9.0,92.0,9244.0,46.0,356.1226092457771,484.9225974957148,3824.0
1,2021-10-02,1700.0,4.0,79.0,8859.0,52.0,,,4405.0
2,2021-10-03,2662.0,31.0,139.0,9123.0,50.0,154.6360642294089,154.6360642294089,8528.0
3,2021-10-04,2907.0,20.0,165.0,9389.0,43.0,452.16987876097363,516.1698274056117,10481.0
4,2021-10-05,1889.0,10.0,89.0,9097.0,52.0,,,4097.0
5,2021-10-06,1921.0,6.0,103.0,9177.0,46.0,484.1801877657573,641.8767314394315,3743.0
6,2021-10-07,1970.0,7.0,98.0,9295.0,52.0,438.25889949997264,469.95887816548344,4154.0
7,2021-10-08,2644.0,7.0,160.0,9313.0,48.0,382.3360343794028,435.9526791711648,8523.0
8,2021-10-09,1050.0,,4.0,8658.0,47.0,379.9931804716587,588.3340610762436,1058.0
9,2021-10-10,898.82,,20.0,8539.0,49.0,,,1770.0
10,2021-10-11,3029.0,27.0,188.0,9401.0,45.0,465.6578977545102,465.6578977545102,9635.0
11,2021-10-12,2880.0,21.0,198.0,9275.0,49.0,448.3592525859674,523.0592478533586,10329.0
12,2021-10-13,2896.0,18.0,197.0,9344.0,48.0,474.6864278356234,616.2991429487864,9621.0
13,2021-10-14,1956.0,10.0,79.0,9231.0,49.0,464.2554814636707,497.07218340833975,4237.0
14,2021-10-15,2020.0,5.0,83.0,9411.0,47.0,395.6173239648342,454.6506472726663,3156.0
15,2021-10-16,1084.0,2.0,18.0,8667.0,45.0,414.29330646594366,414.29330646594366,1533.0
16,2021-10-17,1051.0,2.0,6.0,8798.0,51.0,433.83682002425195,433.83682002425195,909.0
17,2021-10-18,2357.0,16.0,148.0,9185.0,48.0,429.6757051944732,458.6423527439435,6876.0
18,2021-10-19,3556.0,22.0,277.0,9459.0,57.0,,,14015.0
19,2021-10-20,3056.0,25.0,228.0,9335.0,62.0,,,10584.0
20,2021-10-21,5143.0,93.0,393.0,8948.0,68.0,,,22533.0
21,2021-10-22,2914.0,18.0,228.0,9186.0,67.0,,,10030.0
22,2021-10-23,1158.0,7.0,78.0,8318.0,52.0,33.67355441848437,33.67355441848437,3298.0
23,2021-10-24,1821.0,12.0,99.0,8752.0,50.0,376.4758590380351,410.2591542363167,5644.0
24,2021-10-25,3679.0,26.0,262.0,9698.0,55.0,,,13630.0
25,2021-10-26,4653.0,72.0,344.0,9422.0,54.0,,,20626.0
26,2021-10-27,2320.0,10.0,147.0,9318.0,47.0,542.3469777385395,599.946964319547,5894.0
27,2021-10-28,3210.0,26.0,245.0,9366.0,52.0,365.0775747279326,395.0775838315487,11213.0
28,2021-10-29,4792.0,41.0,411.0,9468.0,55.0,,,22819.0
29,2021-10-30,2279.0,33.0,111.0,8984.0,62.0,,,6370.0
30,2021-10-31,675.91,,2.0,8865.0,48.0,,,479.0
31,2021-11-01,560.75,2.0,27.0,8395.0,59.0,,,1217.0
32,2021-11-02,3371.0,15.0,309.0,9380.0,50.0,505.13179367780685,585.8823274930318,12775.0
33,2021-11-03,2888.0,12.0,230.0,9347.0,52.0,,,9221.0
34,2021-11-04,3605.0,57.0,204.0,9482.0,46.0,437.92337104678154,562.7618508478007,13008.0
35,2021-11-05,1875.0,15.0,105.0,8991.0,48.0,,,5269.0
36,2021-11-06,1716.0,3.0,63.0,9103.0,52.0,368.794645267725,488.5776504019896,1691.0
